Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
WJetsToLNu_HT200To400,21192212.000000,359.700000,6999.500000,0.118804,21192212.000000,21159894.000000,3082872.000000,2200172.000000,3837.000000,1960.234619,1960.234619,1954.581177,1781.961792,1272.559082,774.876709,87.553978
WJetsToLNu_HT2500ToInf,20629584.000000,0.032200,6999.500000,0.000011,20629584.000000,18944672.000000,3264312.000000,2560532.000000,1793.000000,632.701660,632.701660,628.982483,466.748260,399.907776,168.887390,92.652565
WJetsToLNu_HT400To600,13664751.000000,48.910000,6999.500000,0.025053,13664751.000000,13616740.000000,2173905.000000,1590347.000000,2002.000000,980.918274,980.918274,976.421387,850.159180,725.402161,385.740295,146.271667
WJetsToLNu_HT600To800,21582308.000000,12.040000,6999.500000,0.003905,21582308.000000,21431606.000000,3502465.000000,2596921.000000,2710.000000,1202.708740,1202.708740,1200.485962,988.466187,851.272766,387.776093,172.429352
WJetsToLNu_HT800To1200,20272990.000000,5.520000,6999.500000,0.001906,20272990.000000,19998372.000000,3315322.000000,2487995.000000,2271.000000,919.608704,919.608704,915.166016,743.757080,634.011169,275.174500,116.008759
WWTo2L2Nu,15934.000000,12.178000,6999.500000,5.349561,15934.000000,15915.000000,3510.000000,2178.000000,44.000000,29.286779,29.286779,29.286779,27.811281,7.393773,2.888065,0.731774
WWToLNuQQ,9956583.000000,10.710000,6999.500000,0.007529,9956583.000000,9946013.000000,1175684.000000,768139.000000,2952.000000,1609.212769,1609.212769,1607.107544,1485.887329,581.357544,423.038483,37.380150
WWW,210490.000000,0.208600,6999.500000,0.006937,210490.000000,209914.000000,29265.000000,21648.000000,331.000000,164.590530,164.590530,142.590164,128.304413,84.659660,40.515804,12.369112
WWZ,221622.000000,0.165100,6999.500000,0.005214,221622.000000,220847.000000,28656.000000,22052.000000,325.000000,166.429779,166.429779,142.909042,115.709648,78.499573,45.879650,23.767019
WZTo1L1Nu2Q,11263154.000000,10.710000,6999.500000,0.006656,11263154.000000,11248929.000000,1370224.000000,923762.000000,3097.000000,1228.237915,1228.237915,1225.346191,1011.455261,479.834961,329.553894,39.780426
WZTo2L2Q,16664610.000000,5.595000,6999.500000,0.002350,16664610.000000,16643809.000000,2269819.000000,1682107.000000,9507.000000,4519.867188,4519.867188,4510.331543,4096.273926,2383.022461,2041.019531,393.949493
WZTo3LNu,6820606.000000,4.430000,6999.500000,0.004546,6820606.000000,6813277.000000,1011710.000000,712061.000000,16467.000000,6108.341797,6108.341797,5511.485352,5228.111328,2534.919678,1482.381958,343.006134
