Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
WJetsToLNu_HT200To400,21192212.000000,359.700000,3380.500000,0.057378,21192212.000000,21159894.000000,3854699.000000,3502122.000000,7691.000000,4631.874023,4631.874023,4605.298340,4166.233398,2620.386963,1676.134277,203.297394
WJetsToLNu_HT2500ToInf,20629584.000000,0.032200,3380.500000,0.000005,20629584.000000,18944672.000000,4023783.000000,3481008.000000,3181.000000,1325.460693,1325.460693,1314.466309,1000.083740,750.076233,328.611053,202.587173
WJetsToLNu_HT400To600,13664751.000000,48.910000,3380.500000,0.012100,13664751.000000,13616740.000000,2641312.000000,2397852.000000,3542.000000,1960.759399,1960.759399,1948.756348,1680.816162,1314.511963,684.204773,224.841415
WJetsToLNu_HT600To800,21582308.000000,12.040000,3380.500000,0.001886,21582308.000000,21431606.000000,4224778.000000,3811541.000000,4812.000000,2503.930908,2503.930908,2485.928955,2084.971191,1655.656860,785.450745,314.679932
WJetsToLNu_HT800To1200,20272990.000000,5.520000,3380.500000,0.000920,20272990.000000,19998372.000000,3995715.000000,3574523.000000,3966.000000,1876.262817,1876.262817,1858.240601,1534.050781,1174.005737,525.702271,238.145264
WWTo2L2Nu,15934.000000,12.178000,3380.500000,2.583641,15934.000000,15915.000000,4744.000000,4177.000000,64.000000,54.678215,54.678215,54.678215,51.201466,15.325823,11.918695,1.751680
WWToLNuQQ,9956583.000000,10.710000,3380.500000,0.003636,9956583.000000,9946013.000000,1673019.000000,1467648.000000,6553.000000,4360.229492,4360.229492,4328.541504,4065.870117,1122.354736,832.849548,46.015434
WWW,210490.000000,0.208600,3380.500000,0.003350,210490.000000,209914.000000,37488.000000,33856.000000,669.000000,375.809662,375.809662,332.225769,303.238464,164.042358,101.624763,42.654072
WWZ,221622.000000,0.165100,3380.500000,0.002518,221622.000000,220847.000000,35415.000000,32516.000000,594.000000,385.345337,385.345337,339.914124,281.820923,171.444534,86.227928,34.095921
WZTo1L1Nu2Q,11263154.000000,10.710000,3380.500000,0.003214,11263154.000000,11248929.000000,1922137.000000,1691252.000000,6675.000000,3144.047363,3144.047363,3119.611572,2551.937988,838.575073,596.506958,52.209179
WZTo2L2Q,16664610.000000,5.595000,3380.500000,0.001135,16664610.000000,16643809.000000,2778619.000000,2589817.000000,18752.000000,11342.107422,11342.107422,11252.503906,10139.386719,4460.565918,3902.801758,769.798462
WZTo3LNu,6820606.000000,4.430000,3380.500000,0.002196,6820606.000000,6813277.000000,1413645.000000,1254467.000000,31535.000000,14232.252930,14232.252930,12657.080078,11978.048828,4826.954102,2945.552490,641.979614
WZZ,219660.000000,0.055650,3380.500000,0.000856,219660.000000,218984.000000,26595.000000,24513.000000,425.000000,215.038071,215.038071,184.427689,142.715683,87.893555,61.315250,26.493080
WMinusHToTauTau,3442926.000000,0.033400,3380.500000,0.000033,3442926.000000,3436685.000000,481599.000000,416098.000000,51165.000000,28707.574219,28707.574219,25378.611328,23427.236328,9080.763672,7309.294434,1675.213989
