Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,41521.000000,0.149117,21618510.000000,21592994.000000,3849.000000,1091.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,41521.000000,0.044658,6446.000000,5906.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,41521.000000,0.048716,9094890.000000,9066725.000000,2431.000000,542.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,41521.000000,0.018772,5664642.000000,5627442.000000,1956.000000,367.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,41521.000000,0.023951,2041779.000000,2014718.000000,886.000000,133.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZZTo2L2Q,17768294.000000,3.220000,41521.000000,0.007525,17768294.000000,17747844.000000,3293444.000000,3098863.000000,31057.548828,31054.675781,30186.322266,23588.517578,8703.486328,3468.480957,2805.647217,159.990021
ZZTo4L,86103680.000000,1.212000,41521.000000,0.000584,86103680.000000,86029168.000000,14804674.000000,13242210.000000,346071.968750,346055.625000,249457.234375,232581.703125,144271.875000,53231.097656,31115.441406,1995.143311
ZZTo4L,10994317.000000,1.212000,41521.000000,0.004577,10994317.000000,10984736.000000,1888166.000000,1688644.000000,44111.476562,44109.570312,31699.318359,29567.250000,18364.390625,6780.662598,3990.233398,234.939774
ZZZ,213514.000000,0.013980,41521.000000,0.002719,213514.000000,213085.000000,19404.000000,18532.000000,425.242157,425.242157,334.360199,240.502686,159.511032,102.713280,67.257286,21.954958
VBFHToWWTo2L2Nu,499278.000000,0.085800,41521.000000,0.007135,499278.000000,498740.000000,123059.000000,107243.000000,3646.280029,3646.280029,2934.714111,2710.976562,1489.981567,976.779480,963.460205,172.731522
WWTo2L2Nu_DoubleScattering,968000.000000,1.620000,41521.000000,0.069488,968000.000000,967414.000000,216744.000000,183028.000000,2345.259521,2345.259521,1803.164551,1725.610352,1340.231079,318.203949,237.510345,28.860205
WZTo1L3Nu,2681223.000000,3.050000,41521.000000,0.047232,2681223.000000,2678565.000000,468519.000000,418666.000000,674.289124,674.289124,670.318787,622.590698,504.046570,211.451172,150.147964,58.352592
WpWpJJ_EWK,144938.000000,0.026150,41521.000000,0.007491,144938.000000,144433.000000,57028.000000,53247.000000,154.564423,154.564423,95.001762,83.402443,65.203743,46.925323,18.149485,3.860217
WpWpJJ_QCD,149484.000000,0.026150,41521.000000,0.007263,149484.000000,148856.000000,48867.000000,44713.000000,221.098251,221.098251,167.221741,152.773392,120.925827,76.641632,38.166821,9.632051
ZZTo2Q2Nu,36986756.000000,4.030000,41521.000000,0.004524,36986756.000000,36955536.000000,8478.000000,2812.000000,2.891778,2.891778,2.891778,3.823636,2.862741,1.944838,0.983943,0.983943
ZZTo2Q2Nu,2251465.000000,4.030000,41521.000000,0.074320,2251465.000000,2249497.000000,553.000000,187.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
